Company,Brand,Product,Actual,Budgeted,Dummy,Month,Year, Price (US/ TT) , A&P 
Bryden Stokes ,Clean & White,3.78L,505,1850,0,April,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,340,215,1,April,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,400,455,0,April,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,420,300,1,May ,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,0,5460,0,May ,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,525,1850,0,May ,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,310,215,1,May ,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,400,455,0,May ,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,0,300,0,June,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,5460,5460,1,June,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,1385,1850,0,June,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,0,215,0,June,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,0,455,0,June,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,320,750,0,July,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,5460,0,July,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,580,2300,0,July,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,295,550,0,July,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,450,750,0,July,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,360,200,1,August,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,2730,1,August,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,1930,500,1,August,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,105,200,0,August,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,650,750,0,August,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,1356,750,1,September,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,13650,5460,1,September,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,2055,2300,0,September,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,665,550,1,September,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,2601,750,1,September,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,0,750,0,October,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,0,5460,0,October,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,1385,2300,0,October,2019, $6.05 ,
Bryden Stokes ,Clean & White,475ML,0,550,0,October,2019, $8.97 ,
Bryden Stokes ,Clean & White,950ML,0,750,0,October,2019, $6.71 ,
Bryden Stokes ,Clean & White,1.89L,475,750,0,November,2019, $6.52 ,
Bryden Stokes ,Clean & White,2X3.78L,2730,5460,0,November,2019, $2.87 ,
Bryden Stokes ,Clean & White,3.78L,470,2300,0,November,2019, $6.05 ,
